period,ratio,category
2025-02-14,69.3844,비타민D
2025-02-15,88.03394,비타민D
2025-02-16,84.94274,비타민D
2025-02-17,100.0,비타민D
2025-02-18,85.70054,비타민D
2025-02-19,80.32799,비타민D
2025-02-20,77.8755,비타민D
2025-02-21,72.12273,비타민D
2025-02-22,72.39444,비타민D
2025-02-23,85.11918,비타민D
2025-02-24,85.19505,비타민D
2025-02-25,78.99588,비타민D
2025-02-26,75.95585,비타민D
2025-02-27,75.47947,비타민D
2025-02-28,66.11412,비타민D
2025-03-01,72.75526,비타민D
2025-03-02,78.98883,비타민D
2025-03-03,86.99384,비타민D
2025-03-04,80.90583,비타민D
2025-03-05,79.20585,비타민D
2025-03-06,81.39809,비타민D
2025-03-07,73.99033,비타민D
2025-03-08,75.44506,비타민D
2025-03-09,82.54318,비타민D
2025-03-10,80.82026,비타민D
2025-03-11,78.53626,비타민D
2025-03-12,84.44166,비타민D
2025-03-13,79.04705,비타민D
2025-03-14,76.45429,비타민D
2025-03-15,75.11865,비타민D
2025-03-16,85.95373,비타민D
2025-03-17,82.90488,비타민D
2025-03-18,86.8024,비타민D
2025-03-19,83.39008,비타민D
2025-03-20,82.50966,비타민D
2025-03-21,66.59491,비타민D
2025-03-22,71.50872,비타민D
2025-03-23,84.55105,비타민D
2025-03-24,82.70991,비타민D
2025-03-25,75.98408,비타민D
2025-03-26,80.313,비타민D
2025-03-27,75.94615,비타민D
2025-03-28,70.37246,비타민D
2025-03-29,70.98646,비타민D
2025-03-30,75.32949,비타민D
2025-03-31,84.07555,비타민D
2025-04-01,78.28748,비타민D
2025-04-02,81.06727,비타민D
2025-04-03,80.68528,비타민D
2025-04-04,72.20389,비타민D
2025-04-05,76.47899,비타민D
2025-04-06,84.06055,비타민D
2025-04-07,84.4196,비타민D
2025-04-08,85.15447,비타민D
2025-04-09,87.02471,비타민D
2025-04-10,79.06734,비타민D
2025-04-11,76.84598,비타민D
2025-04-12,81.35751,비타민D
2025-04-13,87.77899,비타민D
2025-04-14,91.33952,비타민D
2025-04-15,90.91959,비타민D
2025-04-16,88.90819,비타민D
2025-04-17,81.33458,비타민D
2025-04-18,79.2032,비타민D
2025-04-19,77.19886,비타민D
2025-04-20,81.29047,비타민D
2025-04-21,83.17306,비타민D
2025-04-22,86.75829,비타민D
2025-04-23,76.22227,비타민D
2025-04-24,69.78139,비타민D
2025-04-25,65.00255,비타민D
2025-04-26,62.05956,비타민D
2025-04-27,67.41447,비타민D
2025-04-28,69.78051,비타민D
2025-04-29,69.03946,비타민D
2025-04-30,65.20722,비타민D
